Kittila, Finland, 67.701, 24.847 
Kuopio, Finland, 63.007, 27.798 
Vesivehmaa, Finland, 61.144, 25.693 
Lappeenranta, Finland, 61.044, 28.144 
Mariehamn, Finland, 60.122, 19.898 
Menkijarvi, Finland, 62.947, 23.519 
Mikkeli, Finland, 61.686, 27.202 
Nummela, Finland, 60.334, 24.296 
Oulu, Finland, 64.93, 25.354 
Piikajarvi, Finland, 61.246, 22.193 
Pori, Finland, 61.462, 21.8 
Pudasjarvi, Finland, 65.402, 26.947 
Pyhasalmi, Finland, 63.732, 25.926 
Pattijoki, Finland, 64.688, 24.696 
Rantasalmi, Finland, 62.065, 28.356 
Rovaniemi, Finland, 66.565, 25.83 
Rayskala, Finland, 60.745, 24.108 
Savonlinna, Finland, 61.943, 28.945 
Selanpaa, Finland, 61.062, 26.799 
Sodankyla, Finland, 67.395, 26.619 
Tampere, Finland, 61.414, 23.604 
Teisko, Finland, 61.773, 24.027 
Turku, Finland, 60.514, 22.263 
Utti, Finland, 60.896, 26.938 
Vaasa, Finland, 63.051, 21.761 
Varkaus, Finland, 62.171, 27.869 
Ylivieska-raudaskyla, Finland, 64.06, 24.716 
Belfast, North ireland, 54.657, -6.216 
Enniskillen, England, 54.399, -7.652 
Belfast, North ireland, 54.618, -5.873 
Londonderry, North ireland, 55.043, -7.161 
Birmingham, England, 52.454, -1.748 
Coventry, England, 52.37, -1.48 
Leicester, England, 52.608, -1.032 
Golouchestershire, England, 51.894, -2.167 
Nottingham, England, 52.92, -1.079 
Halfpenny green, England, 52.517, -2.26 
Pailton, UK, 51.668, -2.057 
Turweston, UK, 52.041, -1.096 
Manchester, England, 53.354, -2.275 
Woodfort, England, 53.338, -2.149 
Sandtoft, UK, 53.56, -0.858 
Chivenor, England, 51.087, -4.15 
Newquay, England, 50.441, -4.995 
Lyneham, UK, 51.505, -1.993 
Boscombe down, England, 51.152, -1.747 
Culdrose, England, 50.086, -5.256 
St. athan, UK, 51.405, -3.436 
Yeovilton, UK, 51.009, -2.639 
Haverfordwest, England, 51.833, -4.961 
Cardiff, Wales, 51.397, -3.343 
Swansea, England, 51.605, -4.068 
Bristol, England, 51.383, -2.719 
Liverpool, England, 53.334, -2.85 
London, England, 51.874, -0.368 
Plymouth, England, 50.423, -4.106 
Bournemouth, England, 50.78, -1.843 
Southampton, England, 50.95, -1.357 
Lasham, England, 51.185, -1.032 
Guernsey, Guernsey isld., 49.435, -2.602 
Jersey, England, 49.208, -2.195 
Shoreham by sea, England, 50.836, -0.297 
Biggin hill, England, 51.331, 0.033 
London, England, 51.148, -0.19 
London, England, 51.505, 0.054 
Farnborough, England, 51.276, -0.776 
Chalsgrove, England, 51.676, -1.081 
Blackbushe, England, 51.324, -0.848 
London, Engalnd, 51.477, -0.461 
Southend, England, 51.571, 0.696 
Lydd, UK, 50.956, 0.939 
Manston, England, 51.342, 1.346 
Brough, England, 53.719, -0.566 
Carlisle, England, 54.938, -2.809 
Blackpool, England, 53.772, -3.029 
Humberside, England, 53.574, -0.351 
Barrow island, England, 54.13, -3.256 
Leeds, England, 53.866, -1.661 
Warton, UK, 53.745, -2.883 
Hawarden, England, 53.178, -2.978 
Isle of man, England, 54.083, -4.624 
Newcastle, England, 55.038, -1.692 
Teesside, England, 54.509, -1.429 
East midlands, England, 52.831, -1.328 
Llanbedr, England, 52.812, -4.123 
Ternhill, UK, 52.871, -2.533 
Mona, UK, 53.258, -4.373 
Shawbury, UK, 52.798, -2.668 
Valley, UK, 53.248, -4.535 
Woodvale, UK, 53.581, -3.055 
West freugh, UK, 54.851, -4.948 
Kirkwall, Scotland, 58.958, -2.905 
Sumburgh, UK, 59.879, -1.296 
Wick, UK, 58.459, -3.093 
Aberdeen, UK, 57.204, -2.2 
Inverness, UK, 57.54, -4.05 
Glasgow, UK, 55.872, -4.433 
Edinburgh, UK, 55.95, -3.373 
Islay, UK, 55.682, -6.257 
Prestwick, UK, 55.508, -4.587 
Benbecula, UK, 57.481, -7.363 
Scatsta, UK, 60.432, -1.298 
Dundee, UK, 56.453, -3.026 
Stornoway, UK, 58.214, -6.329 
Tiree, UK, 56.499, -6.869 
Leuchars, UK, 56.373, -2.868 
Lossiemouth, UK, 57.705, -3.339 
Bracknell, England, 51.383, -0.783 
